Region,Buyer,Model,Model Year,Supplier,text
China,GAC Honda,Everus VE-1 (FF) (China),2023,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose assembly
China,GAC Honda,Honda Vezel (FF) (China),2023,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose assembly
China,GAC Honda,Honda ZR-V (FF) (China),2023,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose assembly
China,GAC Honda,Honda ZR-V e:HEV (FF) (China),2023,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose assembly
ASEAN・India・Korea,Honda,Accord (Thailand),2023,Nichirin (Thailand) Co. Ltd.,Brake hose
ASEAN・India・Korea,Honda,Accord Hybrid (Thailand),2023,Nichirin (Thailand) Co. Ltd.,Brake hose
ASEAN・India・Korea,Honda,BR-V (Thailand),2023,Nichirin (Thailand) Co. Ltd.,Brake hose
ASEAN・India・Korea,Honda,City (Thailand),2023,Nichirin (Thailand) Co. Ltd.,Brake hose
ASEAN・India・Korea,Honda,Civic (Thailand),2023,Nichirin (Thailand) Co. Ltd.,Brake hose
ASEAN・India・Korea,Honda,CR-V (Thailand),2023,Nichirin (Thailand) Co. Ltd.,Brake hose
ASEAN・India・Korea,Honda,HR-V (Thailand),2023,Nichirin (Thailand) Co. Ltd.,Brake hose
Japan,Honda,Vezel,2023,Nichirin Co. Ltd.,Brake hose
China,IM Motors,IM L7 (4WD) (China),2023,Bundy Fluid Systems (Shanghai) Co. Ltd.,Brake line
China,IM Motors,IM L7 (RR) (China),2023,Bundy Fluid Systems (Shanghai) Co. Ltd.,Brake line
Europe,Jeep,Avenger (Poland),2023,TI Poland Sp. z o.o.,Brake line
ASEAN・India・Korea,Maruti Suzuki,S-PRESSO (India),2023,Toyoda Gosei Minda India Pvt. Ltd. - Bawal Plant2 (Formerly MINDA TG Rubber Pvt. Ltd.),Front brake hose
ASEAN・India・Korea,Maruti Suzuki,Wagon R (India),2023,Toyoda Gosei Minda India Pvt. Ltd. - Bawal Plant2 (Formerly MINDA TG Rubber Pvt. Ltd.),Front brake hose
ASEAN・India・Korea,Maruti Suzuki,Wagon R (India),2023,Toyoda Gosei Minda India Pvt. Ltd. - Bawal Plant2 (Formerly MINDA TG Rubber Pvt. Ltd.),Rear brake hose
Europe,Mercedes-Benz,EQE (Germany),2023,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Japan,Mitsubishi,eK Space,2023,Inoac Tokai (Thailand) Co. Ltd.,Vacuum hose
Japan,Nissan,Fairlady Z,2023,Nichirin Co. Ltd.,Brake hose
Americas,Nissan,Kicks (Mexico),2023,HC Queretaro S.A. de C.V.,Brake hose
Americas,Nissan,March (Mexico),2023,HC Queretaro S.A. de C.V.,Brake hose
Japan,Nissan,Roox,2023,Inoac Tokai (Thailand) Co. Ltd.,Vacuum hose
Japan,Nissan,Roox Highway Star,2023,Inoac Tokai (Thailand) Co. Ltd.,Vacuum hose
Americas,Nissan,Versa (Mexico),2023,HC Queretaro S.A. de C.V.,Brake hose
Europe,Opel,Astra Electric (Germany),2023,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,Rivian,R1S (USA),2023,TI Automotive LLC,Brake line
Americas,Rivian,R1T (USA),2023,TI Automotive LLC,Brake line
China,SAIC GM Wuling,Wuling Hongguang MINI EV (China),2023,Sichuan Chuanhuan Technology Co. Ltd.,Vacuum brake hose
Japan,Subaru,BRZ,2023,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
ASEAN・India・Korea,Suzuki,Grand Vitara (India),2023,Toyoda Gosei Minda India Pvt. Ltd. - Bawal Plant2 (Formerly MINDA TG Rubber Pvt. Ltd.),Front brake hose
ASEAN・India・Korea,Suzuki,Grand Vitara (India),2023,Toyoda Gosei Minda India Pvt. Ltd. - Bawal Plant2 (Formerly MINDA TG Rubber Pvt. Ltd.),Rear brake hose
Japan,Toyota,Corolla Cross,2023,Toyoda Gosei Co. Ltd.,Brake hose
Japan,Toyota,Corolla Cross Hybrid,2023,Toyoda Gosei Co. Ltd.,Brake hose
ASEAN・India・Korea,Toyota,Fortuner (India),2023,Toyoda Gosei Minda India Pvt. Ltd. - Bawal Plant2 (Formerly MINDA TG Rubber Pvt. Ltd.),Front brake hose
ASEAN・India・Korea,Toyota,Fortuner (India),2023,Toyoda Gosei Minda India Pvt. Ltd. - Bawal Plant2 (Formerly MINDA TG Rubber Pvt. Ltd.),Rear brake hose
Japan,Toyota,GR Yaris,2023,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
Japan,Toyota,GR86,2023,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
Americas,Volkswagen,Atlas Cross Sport (USA),2023,Sanoh America Inc. - Scottsboro,Brake line
China,Xpeng,G3i (FF) (China),2023,TI Automotive (Tianjin) Co. Ltd. Guangzhou Branch (Formerly Bundy Fluid Systems (Tianjin) Co Ltd. Guangzhou Branch),Brake line
China,Zhengzhou Nissan,Nissan Terra (4WD) (China),2023,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose assembly
China,Zhengzhou Nissan,Nissan Terra (FR) (China),2023,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose assembly
