Region,Buyer,Supplier,Specific Part Name
Europe,Daimler,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Booster line
Europe,Citroen,Flexitech Inc.,Front brake hose
Japan,Mitsubishi,Meiji Flow Systems Co. Ltd.,Vacuum brake hose
Europe,Saab,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,GM,Cooper-Standard Holdings Inc.,Vacuum brake line
Americas,BMW,Flexitech Inc.,Front brake hose
China,Dongfeng Honda,Nichirin Co. Ltd.,Hydraulic brake hose
Americas,Nissan,HC Queretaro S.A. de C.V.,Brake hose assembly
Europe,Mercedes-Benz,Continental AG,Rear brake hose
Europe,Daimler,Veritas AG,Vacuum hose
Americas,BMW,Flexitech Europe SAS,Rear brake hose
ASEAN・India・Korea,Suzuki,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
ASEAN・India・Korea,Suzuki,Toyoda Gosei Minda India Pvt. Ltd. - Bawal Plant2 (Formerly MINDA TG Rubber Pvt. Ltd.),Rear brake hose
Americas,Ford,Martinrea International US Inc.,Brake line
Americas,Ram Trucks,Proterial Cable America Inc. (Formerly Hitachi Cable America Inc.),Brake hose assembly
Europe,Opel,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Japan,Nissan,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
ASEAN・India・Korea,Renault,Hanil Tube India Private Ltd.,Brake line
Americas,Tesla,Flexitech Inc.,Front brake hose
China,GAC Honda,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(1.5L)(6MT)
Europe,Citroen,Freudenberg SE,Brake hose
Americas,Ford,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
China,GAC Motor,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(1.5L)(6AT)
Americas,Ford,Dayco Products LLC (Division of Mark IV Industries Inc.),Brake booster vacuum hose
Europe,Fiat,DN Automotive Italy s.r.l. (Formerly C.F. Gomma S.p.A.),Rear brake hose
China,NIO,Qingdao Meiji Rubber Products Co. Ltd.,Brake hose
Europe,Peugeot,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Americas,Nissan,HC Queretaro S.A. de C.V.,Brake hose
China,GAC Toyota,Guangzhou Maruyasu Pipeline System Co. Ltd.,Brake hose
Europe,Ford,Continental AG,Brake hose
ASEAN・India・Korea,Nissan,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
Europe,Porsche,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Americas,Daimler,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Americas,Nissan,HC Queretaro S.A. de C.V.,Vacuum brake hose
China,Tesla China,Hitachi Cable (Suzhou) Co. Ltd.,Vacuum brake hose
Japan,Subaru,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
Europe,Lancia,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Europe,Mitsubishi,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Europe,Nissan,Cikautxo S. Coop.,Brake hose
Europe,BMW,Continental AG,Brake hose
Europe,Jeep,TI Poland Sp. z o.o.,Brake line
China,GAC Honda,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(6MT)
Americas,Jeep,Flexitech Inc.,Brake hose
Europe,Peugeot,Hutchinson S.A.,Rear brake hose
Japan,Peugeot,Meiji Flow Systems Co. Ltd.,Brake hose
China,Shanghai Volkswagen,Shanghai Automotive Brake Systems Co. Ltd.,Rear brake hose
Europe,Daimler,Continental AG,Brake hose front axle / rear axle
Europe,SEAT,A. Kayser Automotive Systems GmbH,Vacuum hose
Americas,Jeep,Flexitech Inc.,Front brake hose
ASEAN・India・Korea,GM,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Europe,Audi,A. Kayser Automotive Systems GmbH,Vacuum hose
China,NIO,Continental Automotive Systems (Changshu) Co. Ltd.,Brake hose
ASEAN・India・Korea,Mahindra & Mahindra,Hanil Tube India Private Ltd.,Brake line
Americas,Toyota,Proterial Cable America Inc. (Formerly Hitachi Cable America Inc.),Vacuum brake hose
Europe,Volkswagen,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Volvo Cars,Continental AG,Brake hose
Americas,Dodge,Proterial Cable America Inc. (Formerly Hitachi Cable America Inc.),Brake hose
ASEAN・India・Korea,Toyota,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Japan,Nissan,Nichirin Co. Ltd.,Brake hose
Americas,Tesla,Martinrea International US Inc.,Brake line
Americas,Dodge,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
ASEAN・India・Korea,Mahindra & Mahindra,Imperial Auto Industries Ltd.,Brake hose
Europe,Jaguar Land Rover,Hutchinson S.A.,Vacuum brake line
Americas,Volkswagen,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Europe,BMW,Flexitech Inc.,Brake hose
ASEAN・India・Korea,Honda,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
Japan,Mitsubishi,Inoac Tokai (Thailand) Co. Ltd.,Vacuum hose
Europe,BMW,Flexitech Inc.,Front brake hose
Europe,Audi,FTE automotive GmbH,Brake hose
Americas,Ford,Proterial Cable America Inc. (Formerly Hitachi Cable America Inc.),Front and rear brake hose assembly
Americas,Volkswagen,Flexitech Inc.,Brake hoses
Americas,Toyota,Proterial Cable America Inc. - Automotive Division (Formerly Hitachi Cable America Inc. - Indiana Plant),Vacuum brake hose
Americas,Nissan,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
Europe,Audi,FTE automotive GmbH,Front brake hose
Japan,Nissan,Meiji Flow Systems Co. Ltd.,Brake hose
Americas,Ford,Cooper-Standard Holdings Inc.,Brake line
China,GAC Honda,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(1.5L)(CVT)
Europe,Skoda,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Europe,Renault,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Vacuum brake booster line
ASEAN・India・Korea,Toyota,Imperial Auto Industries Ltd.,Brake hose
